,0,1
6,FREC 1004,3.54
23,STS 2604,3.508
8,HIST 2604,3.4918181818181817
7,GEOG 1084,3.4325
0,ACIS 1004,3.374
4,CS 1064,3.3535714285714286
2,CONS 2304,3.35
21,SOC 2604,3.345
5,FIN 2114,3.3393333333333333
3,CS 1014,3.272307692307692
9,ISC 1105,3.235
22,STAT 2004,3.228807339449541
10,ISC 1106,3.196
11,LAR 1254,3.161111111111111
18,MATH 1535,3.1479629629629637
1,BIT 2405,2.914342105263158
19,MATH 1536,2.908095238095238
20,REAL 2034,2.8316666666666666
14,MATH 1026,2.788636363636364
17,MATH 1524,2.6835555555555555
13,MATH 1025,2.556896551724138
15,MATH 1225,2.463980891719745
12,MATH 1014,2.420113636363636
16,MATH 1226,2.389113924050633
